Reading data files.[    0.04]
Creating Temoa model instance.[    0.53]
Solving.[    0.77]
Calculating reporting variables and formatting results.[    1.06]
Model name: The Temoa Energy System Model
Objective function value (TotalCost): 28790.1570536
Non-zero variable values:
      4.2968694701925085e-06  V_Activity[2017,spring,6,ED_SOLPV,2017]
      0.0012096090547522292   V_Activity[2017,spring,6,IMPSOLAR,2017]
      0.010124886860632806    V_Activity[2017,spring,6,LOCAL,2017]
      0.0004039057301980958   V_Activity[2017,spring,6,TRANS,2017]
      0.010456137304937262    V_Activity[2017,spring,7,DIST,2017]
      0.006205553252221126    V_Activity[2017,spring,7,EC_SOLPV,2017]
      0.005347882802795589    V_Activity[2017,spring,7,ED_BATT,2017]
      6.205553252221127e-05   V_Activity[2017,spring,7,ED_SOLPV,2017]
      0.017469214402962816    V_Activity[2017,spring,7,IMPSOLAR,2017]
      0.010456137304937262    V_Activity[2017,spring,7,LOCAL,2017]
      0.005833220057087858    V_Activity[2017,spring,7,TRANS,2017]
      0.01081376996529666     V_Activity[2017,spring,8,DIST,2017]
      0.012369903872450993    V_Activity[2017,spring,8,EC_SOLPV,2017]
      0.03447766290357824     V_Activity[2017,spring,8,IMPSOLAR,2017]
      0.01081376996529666     V_Activity[2017,spring,8,LOCAL,2017]
      0.011627709640103933    V_Activity[2017,spring,8,TRANS,2017]
      0.011151751939998183    V_Activity[2017,spring,9,DIST,2017]
      0.04350614355895949     V_Activity[2017,spring,9,EC_SOLPV,2017]
      0.12126126179534136     V_Activity[2017,spring,9,IMPSOLAR,2017]
      0.011151751939998183    V_Activity[2017,spring,9,LOCAL,2017]
      0.04089577494542192     V_Activity[2017,spring,9,TRANS,2017]
      0.011402995500471498    V_Activity[2017,spring,10,DIST,2017]
      0.07209738790859477     V_Activity[2017,spring,10,EC_SOLPV,2017]
      0.200951394786265       V_Activity[2017,spring,10,IMPSOLAR,2017]
      0.011402995500471498    V_Activity[2017,spring,10,LOCAL,2017]
      0.06777154463407908     V_Activity[2017,spring,10,TRANS,2017]
      0.011544369836094073    V_Activity[2017,spring,11,DIST,2017]
      0.09547133409291725     V_Activity[2017,spring,11,EC_SOLPV,2017]
      0.26609976178887546     V_Activity[2017,spring,11,IMPSOLAR,2017]
      0.011544369836094073    V_Activity[2017,spring,11,LOCAL,2017]
      0.08974305404734222     V_Activity[2017,spring,11,TRANS,2017]
      0.01162890500433703     V_Activity[2017,spring,12,DIST,2017]
      0.013302339286590057    V_Activity[2017,spring,12,EC_SOLPV,2017]
      0.037076567003362086    V_Activity[2017,spring,12,IMPSOLAR,2017]
      0.01162890500433703     V_Activity[2017,spring,12,LOCAL,2017]
      0.012504198929394654    V_Activity[2017,spring,12,TRANS,2017]
      0.011705924987236887    V_Activity[2017,spring,13,DIST,2017]
      0.013390442675860084    V_Activity[2017,spring,13,EC_SOLPV,2017]
      0.03732213067040721     V_Activity[2017,spring,13,IMPSOLAR,2017]
      0.011705924987236887    V_Activity[2017,spring,13,LOCAL,2017]
      0.01258701611530848     V_Activity[2017,spring,13,TRANS,2017]
      0.011747199899506896    V_Activity[2017,spring,14,DIST,2017]
      0.013437657171707728    V_Activity[2017,spring,14,EC_SOLPV,2017]
      0.037453727931694165    V_Activity[2017,spring,14,IMPSOLAR,2017]
      0.011747199899506896    V_Activity[2017,spring,14,LOCAL,2017]
      0.012631397741405264    V_Activity[2017,spring,14,TRANS,2017]
      0.011721502194651278    V_Activity[2017,spring,15,DIST,2017]
      0.0134082614901067      V_Activity[2017,spring,15,EC_SOLPV,2017]
      0.0373717956538437      V_Activity[2017,spring,15,IMPSOLAR,2017]
      0.011721502194651278    V_Activity[2017,spring,15,LOCAL,2017]
      0.012603765800700297    V_Activity[2017,spring,15,TRANS,2017]
      0.011614741977954618    V_Activity[2017,spring,16,DIST,2017]
      0.01328613815826426     V_Activity[2017,spring,16,EC_SOLPV,2017]
      0.03703141086901909     V_Activity[2017,spring,16,IMPSOLAR,2017]
      0.011614741977954618    V_Activity[2017,spring,16,LOCAL,2017]
      0.012488969868768405    V_Activity[2017,spring,16,TRANS,2017]
      0.011399983002205674    V_Activity[2017,spring,17,DIST,2017]
      0.013040474722266842    V_Activity[2017,spring,17,EC_SOLPV,2017]
